030ALLDREN RUTH   G212020000
004ACHER WILLIAM  N010726005
730REEDE OWEN     G090555010
409ICK MICK       G259999999
111CARTOLER VIOLETG020998007
590NEIL CLARENCE  N070065009
105BOYLE RALPH    N088044014
801SCHEIBER HARRY N011000000
487KING MILDRED   N180919963
956WANGLEY THEO   G010999991
317HANBEE ALETA   G035000003
318HANEY CAROL    G095000014
027ALHOUER ELAINE G012573002
100BATES TONY     N081066020
102BELLSLEY ART   G083000009
282ESTABAN JUAN   G194055000
322HARLETON JEAN  N070899012
310GORMALLY MARIE N033022006
921ULL GEORGE     N182298851
179DAMSON ERIC    G032502018
185DONNEMAN THOMASG060423009
568LYNNF GERALD   N094487013
999BAKER RON      G033000014
215EDSON WILBUR   N067050008
607ODELLE NICK    N102507018
171COSTA NAN      N150356005
122CENNA DICK     N035777004
181DELBERT EDWARD G120659013
311GROLER GRACE   N230643020
825TILLMAN DON    N120444019
325HATFIELD MARK  G011122002
214EDMONSON RICK  N021000000
332HELD ANNA      G024000002
689OWNEY REED     N043174603
834TRAWLEY HARRIS N057326005
802SHEA MICHAEL   G062033008
505LAMBERT JERRY  G014001004
806STOCKTON NORMANG062507007
207EBERHARDT RON  G054007009
315HALE ALAN      N124000016
739RIDEL ROBERT   N050194008
308GLEASON JAMES  N015000003
909UDSON DORIS    G014499003
292EVERLEY DONNA  G032000017
